GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WebCheckers Application Tier Test Coverage,com.webcheckers.model.moves,Move.Type,48,0,0,0,8,0,3,0,3,0
WebCheckers Application Tier Test Coverage,com.webcheckers.model.moves,JumpUndo,38,0,0,0,9,0,2,0,2,0
WebCheckers Application Tier Test Coverage,com.webcheckers.model.moves,Jump,13,0,0,0,4,0,2,0,2,0
WebCheckers Application Tier Test Coverage,com.webcheckers.model.moves,KingDirection,69,0,0,0,11,0,4,0,4,0
WebCheckers Application Tier Test Coverage,com.webcheckers.model.moves,KingUndo,30,0,0,0,8,0,2,0,2,0
WebCheckers Application Tier Test Coverage,com.webcheckers.model.moves,Position,68,0,6,0,12,0,9,0,6,0
WebCheckers Application Tier Test Coverage,com.webcheckers.model.moves,MoveUndo,27,0,0,0,7,0,2,0,2,0
WebCheckers Application Tier Test Coverage,com.webcheckers.model.moves,NormalDirection,45,0,0,0,9,0,4,0,4,0
WebCheckers Application Tier Test Coverage,com.webcheckers.model.moves,Move,117,0,6,0,20,0,12,0,9,0
WebCheckers Application Tier Test Coverage,com.webcheckers.model.moves,Step,7,0,0,0,2,0,1,0,1,0
WebCheckers Application Tier Test Coverage,com.webcheckers.model.moves,MoveAction,15,0,0,0,6,0,1,0,1,0
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,PostBackupMoveRoute,76,0,6,0,16,0,5,0,2,0
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,ViewMode,39,0,0,0,2,0,2,0,2,0
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,PostValidateMoveRoute,61,0,2,0,13,0,4,0,3,0
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,GetGameRoute,121,0,6,0,26,0,6,0,3,0
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,GetHomeRoute,121,0,8,0,28,0,8,0,4,0
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,WebServer,124,0,0,0,22,0,3,0,3,0
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,PostCheckTurnRoute,51,0,2,0,11,0,4,0,3,0
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,PostSigninRoute,84,0,4,0,23,0,6,0,4,0
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,GetSigninRoute,28,0,0,0,7,0,2,0,2,0
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,PostSubmitTurnRoute,51,0,2,0,12,0,4,0,3,0
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,GetSignoutRoute,29,0,0,0,9,0,2,0,2,0
WebCheckers Application Tier Test Coverage,com.webcheckers.ui,PostGameRoute,127,0,4,0,26,0,4,0,2,0
WebCheckers Application Tier Test Coverage,com.webcheckers.model,Player,35,10,4,0,5,4,4,2,2,2
WebCheckers Application Tier Test Coverage,com.webcheckers.model,Color,37,0,0,0,7,0,3,0,3,0
WebCheckers Application Tier Test Coverage,com.webcheckers.model,Space,52,0,8,0,14,0,12,0,8,0
WebCheckers Application Tier Test Coverage,com.webcheckers.model,Piece.Type,29,0,0,0,3,0,2,0,2,0
WebCheckers Application Tier Test Coverage,com.webcheckers.model,Board,644,0,76,0,116,0,59,0,21,0
WebCheckers Application Tier Test Coverage,com.webcheckers.model,Game,192,0,16,0,44,0,24,0,16,0
WebCheckers Application Tier Test Coverage,com.webcheckers.model,Piece,93,0,8,0,22,0,16,0,12,0
WebCheckers Application Tier Test Coverage,com.webcheckers.model,Row,99,0,8,0,17,0,13,0,9,0
WebCheckers Application Tier Test Coverage,com.webcheckers,Application,82,0,0,0,24,0,4,0,4,0
WebCheckers Application Tier Test Coverage,com.webcheckers.appl,RowView,44,0,4,0,11,0,5,0,3,0
WebCheckers Application Tier Test Coverage,com.webcheckers.appl,BoardView,69,0,8,0,15,0,8,0,4,0
WebCheckers Application Tier Test Coverage,com.webcheckers.appl,PlayerLobby,49,0,2,0,12,0,7,0,6,0
WebCheckers Application Tier Test Coverage,com.webcheckers.appl,GameLobby,18,8,0,0,4,2,3,1,3,1
WebCheckers Application Tier Test Coverage,com.webcheckers.appl,Message.Type,29,0,0,0,3,0,2,0,2,0
WebCheckers Application Tier Test Coverage,com.webcheckers.appl,Message,15,0,0,0,6,0,3,0,3,0
